Lampost,centerligh,lat,lon
52,147.0,31.23914328400008,34.798296116000074
47,147.0,31.239708325000038,34.799214850000055
46,147.0,31.23980160800005,34.799472055000024
42,147.0,31.240150249000067,34.80021990000006
36,142.0,31.24314357600008,34.80596019500007
35,142.0,31.243381765000038,34.80600191800005
2,142.0,31.24415400600003,34.80896972900007
2,143.0,31.244137825000053,34.80950444000007
1,143.0,31.24413557300005,34.80921860700005
90,127.0,31.25813501400006,34.81272384700003
89,127.0,31.25812903900004,34.812923719000025
94,127.0,31.257606605000035,34.81373111600004
12,142.0,31.244364432000054,34.80655051400004
10,142.0,31.244329734000075,34.80702736300003
28,144.0,31.244086543000037,34.80041244500006
27,144.0,31.244095490000063,34.80067908700005
14,146.0,31.244521882000072,34.79583609500003
1,146.0,31.24437375800005,34.79693169300003
21,149.0,31.246029467000028,34.79917540500003
20,149.0,31.245952935000048,34.799090818000025
12,149.0,31.24589295900006,34.79804301000007
5,148.0,31.245831096000074,34.80021647500007
7,148.0,31.24561917300008,34.800204277000034
10,148.0,31.244891162000044,34.80021013900006
9,148.0,31.245141257000057,34.800208885000075
8,148.0,31.24537258600003,34.800208361000045
6,148.0,31.245722697000076,34.80039472300007
4,148.0,31.24608018600003,34.80021375500007
12,148.0,31.24443184900008,34.80019630800007
11,149.0,31.24429748500006,34.79931760000005
7,149.0,31.244618353000078,34.79921050000007
8,149.0,31.24449465500004,34.79931586600003
10,149.0,31.244416767000075,34.799318791000076
43,144.0,31.243637188000037,34.79968061200003
46,144.0,31.242868422000072,34.79971568800005
47,144.0,31.242611887000066,34.79969128400006
42,144.0,31.243913315000043,34.79965748500007
44,144.0,31.243372797000063,34.79971454300005
45,144.0,31.243090944000073,34.79971694300008
16,146.0,31.244113482000046,34.79713274300008
17,146.0,31.244123841000032,34.79742675400007
18,146.0,31.244112176000044,34.797705809000036
